Canton,ob_mean,ob_q2.5,ob_q50,ob_q97.5,sb_mean,sb_q2.5,sb_q50,sb_q97.5
POAS,0.1460800707283546,0.14430022247892385,0.14607444730325087,0.14788672751564946,0.19599550824064474,0.1941510480441822,0.19599908802337296,0.19785348348677062
POCOCI,0.1340242747038529,0.13227443000179648,0.13401484617668236,0.13582800074312187,0.1862852487131308,0.18427942772523861,0.1862744398376262,0.1883316795322932
PUNTARENAS,0.13486071161601246,0.13359136826455906,0.13486222665308006,0.13611072856925854,0.19402116522978424,0.19245348671617205,0.19402208069105126,0.1955666712877342
PURISCAL,0.14788862659824448,0.1458078397848167,0.1478768236858607,0.14994703202772205,0.19622422877944729,0.1926863679529762,0.1962050342070193,0.19984564211567454
QUEPOS,0.13772429262489008,0.13621128318066264,0.1377260127787358,0.13928846869211983,0.1903082116504997,0.18846822274556185,0.19030271684884392,0.1921363269902363
SAN CARLOS,0.13096193944375648,0.1290407241026421,0.13096810232026393,0.13284205346666353,0.19313849075706246,0.19084778949673836,0.1931420152408243,0.19541417884585754
SAN ISIDRO,0.1544049755484724,0.15212742528960985,0.15441181489412467,0.15664740148719572,0.2169287428803877,0.214246317857396,0.21693042070914317,0.21960199724728507
SAN JOSE,0.15220172905108273,0.15027632984920763,0.15219597055449097,0.15418938062892978,0.20524525167860752,0.2029135779539763,0.2052369416605811,0.20758338651504663
SAN MATEO,0.13887482103497265,0.1365869945399715,0.13887339248693548,0.141120036953122,0.19863749206453934,0.19568712787687867,0.19864136770969948,0.20156740900102538
SAN PABLO,0.15509895127120943,0.15212210033710977,0.15509429331506863,0.15811066533315413,0.21520385959575133,0.2128649901979966,0.21521194823621576,0.21748825176891193
SAN RAFAEL,0.15386048520789894,0.1518833443808876,0.15385884085864998,0.1558054067866399,0.209790996172835,0.20769095422482475,0.2098014106792611,0.21184848830241815
SAN RAMON,0.14397983826088342,0.14259227583786405,0.1439876824151326,0.14535882365462496,0.1995679455590174,0.19763565587309678,0.19958503052058596,0.20147455200595463
SANTA ANA,0.147528873056169,0.14472709650952909,0.14753557404305973,0.1503654946685592,0.21331468326316524,0.2108485554493773,0.21330986908774358,0.21575088257157252
SANTA BARBARA,0.15007571764211797,0.14830964545077904,0.15008914738020512,0.15180722450064624,0.20962592136503644,0.20757794118316245,0.20962960629641691,0.2116573489697036
